Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
1.503972,0.001000,0.001000,0.000000,0.000000,88.000000,0.000000.
1.515497,0.001000,0.001000,0.000000,0.000000,89.000000,0.000000.
1.540272,0.001000,0.001000,0.000000,0.000000,90.000000,0.000000.
1.552991,0.001000,0.001000,0.000000,0.000000,91.000000,0.000000.
1.565424,0.001000,0.001000,0.000000,0.000000,92.000000,0.000000.
1.589847,0.001000,0.001000,0.000000,0.000000,93.000000,0.000000.
1.601781,0.001000,0.001000,0.000000,0.000000,94.000000,0.000000.
1.624459,0.001000,0.001000,0.000000,0.000000,95.000000,0.000000.
1.633816,0.001000,0.001000,0.000000,0.000000,96.000000,0.000000.
1.649188,0.001000,0.001000,0.000000,0.000000,97.000000,0.000000.
1.661908,0.001000,0.001000,0.000000,0.000000,98.000000,0.000000.
1.681742,0.001000,0.001000,0.000000,0.000000,99.000000,0.000000.
1.692949,0.001000,0.001000,0.000000,0.000000,100.000000,0.000000.
1.704482,0.001000,0.001000,0.000000,0.000000,101.000000,0.000000.
1.716948,0.001000,0.001000,0.000000,0.000000,102.000000,0.000000.
1.737036,0.001000,0.001000,0.000000,0.000000,103.000000,0.000000.
1.748085,0.001000,0.001000,0.000000,0.000000,104.000000,0.000000.
1.759497,0.001000,0.001000,0.000000,0.000000,105.000000,0.000000.
1.774557,0.001000,0.001000,0.000000,0.000000,106.000000,0.000000.
1.781686,0.001000,0.001000,0.000000,0.000000,107.000000,0.000000.
1.802559,0.001000,0.001000,0.000000,0.000000,108.000000,0.000000.
1.811412,0.001000,0.001000,0.000000,0.000000,109.000000,0.000000.
1.835942,0.001000,0.001000,0.000000,0.000000,110.000000,0.000000.
1.862567,0.001000,0.001000,0.000000,0.000000,111.000000,0.000000.
1.872719,0.001000,0.001000,0.000000,0.000000,112.000000,0.000000.
1.886741,0.001000,0.001000,0.000000,0.000000,113.000000,0.000000.
1.893518,0.001000,0.001000,0.000000,0.000000,114.000000,0.000000.
1.916371,0.001000,0.001000,0.000000,0.000000,115.000000,0.000000.
1.928116,0.001000,0.001000,0.000000,0.000000,116.000000,0.000000.
1.949332,0.001000,0.001000,0.000000,0.000000,117.000000,0.000000.
1.960980,0.001000,0.001000,0.000000,0.000000,118.000000,0.000000.
1.974925,0.001000,0.001000,0.000000,0.000000,119.000000,0.000000.
1.983241,0.001000,0.001000,0.000000,0.000000,120.000000,0.000000.
1.999587,0.001000,0.001000,0.000000,0.000000,121.000000,0.000000.
2.011225,0.001000,0.001000,0.000000,0.000000,122.000000,0.000000.
2.031529,0.001000,0.001000,0.000000,0.000000,123.000000,0.000000.
2.043537,0.001000,0.001000,0.000000,0.000000,124.000000,0.000000.
2.056107,0.001000,0.001000,0.000000,0.000000,125.000000,0.000000.
2.077430,0.001000,0.001000,0.000000,0.000000,126.000000,0.000000.
2.089792,0.001000,0.001000,0.000000,0.000000,127.000000,0.000000.
2.110791,0.001000,0.001000,0.000000,0.000000,128.000000,0.000000.
2.122200,0.001000,0.001000,0.000000,0.000000,129.000000,0.000000.
2.141759,0.001000,0.001000,0.000000,0.000000,130.000000,0.000000.
2.153945,0.001000,0.001000,0.000000,0.000000,131.000000,0.000000.
2.175628,0.001000,0.001000,0.000000,0.000000,132.000000,0.000000.
2.188174,0.001000,0.001000,0.000000,0.000000,133.000000,0.000000.
2.213058,0.001000,0.001000,0.000000,0.000000,134.000000,0.000000.
2.243114,0.001000,0.001000,0.000000,0.000000,135.000000,0.000000.
2.257981,0.001000,0.001000,0.000000,0.000000,136.000000,0.000000.
2.295180,0.001000,0.001000,0.000000,0.000000,137.000000,0.000000.
2.307845,0.001000,0.001000,0.000000,0.000000,138.000000,0.000000.
2.336564,0.001000,0.001000,0.000000,0.000000,139.000000,0.000000.
2.356873,0.001000,0.001000,0.000000,0.000000,140.000000,0.000000.
2.379070,0.001000,0.001000,0.000000,0.000000,141.000000,0.000000.
2.403889,0.001000,0.001000,0.000000,0.000000,142.000000,0.000000.
2.426033,0.001000,0.001000,0.000000,0.000000,143.000000,0.000000.
2.453900,0.001000,0.001000,0.000000,0.000000,144.000000,0.000000.
2.479802,0.001000,0.001000,0.000000,0.000000,145.000000,0.000000.
2.506876,0.001000,0.001000,0.000000,0.000000,146.000000,0.000000.
2.528652,0.001000,0.001000,0.000000,0.000000,147.000000,0.000000.
