Time(s),Set Current,Actual Current,Velocity of Vehicle (mph),Speed,Packets Recieved,Packet Errors
1.017139,0.001000,0.001000,0.000000,0.000000,77.000000,0.000000.
1.024659,0.001000,0.001000,0.000000,0.000000,78.000000,0.000000.
1.039027,0.001000,0.001000,0.000000,0.000000,79.000000,0.000000.
1.050429,0.001000,0.001000,0.000000,0.000000,80.000000,0.000000.
1.062155,0.001000,0.001000,0.000000,0.000000,81.000000,0.000000.
1.073216,0.001000,0.001000,0.000000,0.000000,82.000000,0.000000.
1.090767,0.001000,0.001000,0.000000,0.000000,83.000000,0.000000.
1.103768,0.001000,0.001000,0.000000,0.000000,84.000000,0.000000.
1.112243,0.001000,0.001000,0.000000,0.000000,85.000000,0.000000.
1.133125,0.001000,0.001000,0.000000,0.000000,86.000000,0.000000.
1.144919,0.001000,0.001000,0.000000,0.000000,87.000000,0.000000.
1.162394,0.001000,0.001000,0.000000,0.000000,88.000000,0.000000.
1.172827,0.001000,0.001000,0.000000,0.000000,89.000000,0.000000.
1.185752,0.001000,0.001000,0.000000,0.000000,90.000000,0.000000.
1.192675,0.001000,0.001000,0.000000,0.000000,91.000000,0.000000.
1.211085,0.001000,0.001000,0.000000,0.000000,92.000000,0.000000.
1.238992,0.001000,0.001000,0.000000,0.000000,93.000000,0.000000.
1.266070,0.001000,0.001000,0.000000,0.000000,94.000000,0.000000.
1.289266,0.001000,0.001000,0.000000,0.000000,95.000000,0.000000.
1.314987,0.001000,0.001000,0.000000,0.000000,96.000000,0.000000.
1.336251,0.001000,0.001000,0.000000,0.000000,97.000000,0.000000.
1.363172,0.001000,0.001000,0.000000,0.000000,98.000000,0.000000.
1.391417,0.001000,0.001000,0.000000,0.000000,99.000000,0.000000.
1.415190,0.001000,0.001000,0.000000,0.000000,100.000000,0.000000.
1.439005,0.001000,0.001000,0.000000,0.000000,101.000000,0.000000.
1.461444,0.001000,0.001000,0.000000,0.000000,102.000000,0.000000.
1.487636,0.001000,0.001000,0.000000,0.000000,103.000000,0.000000.
1.508761,0.001000,0.001000,0.000000,0.000000,104.000000,0.000000.
1.533663,0.001000,0.001000,0.000000,0.000000,105.000000,0.000000.
1.559776,0.001000,0.001000,0.000000,0.000000,106.000000,0.000000.
1.583948,0.001000,0.001000,0.000000,0.000000,107.000000,0.000000.
1.607810,0.001000,0.001000,0.000000,0.000000,108.000000,0.000000.
1.631447,0.001000,0.001000,0.000000,0.000000,109.000000,0.000000.
1.654046,0.001000,0.001000,0.000000,0.000000,110.000000,0.000000.
1.680020,0.001000,0.001000,0.000000,0.000000,111.000000,0.000000.
1.705609,0.001000,0.001000,0.000000,0.000000,112.000000,0.000000.
1.730407,0.001000,0.001000,0.000000,0.000000,113.000000,0.000000.
1.755701,0.001000,0.001000,0.000000,0.000000,114.000000,0.000000.
1.765856,0.001000,0.001000,0.000000,0.000000,115.000000,0.000000.
1.801503,0.001000,0.001000,0.000000,0.000000,116.000000,0.000000.
1.815991,0.001000,0.001000,0.000000,0.000000,117.000000,0.000000.
1.850873,0.001000,0.001000,0.000000,0.000000,118.000000,0.000000.
1.877689,0.001000,0.001000,0.000000,0.000000,119.000000,0.000000.
1.889457,0.001000,0.001000,0.000000,0.000000,120.000000,0.000000.
1.910805,0.001000,0.001000,0.000000,0.000000,121.000000,0.000000.
1.937725,0.001000,0.001000,0.000000,0.000000,122.000000,0.000000.
1.960165,0.001000,0.001000,0.000000,0.000000,123.000000,0.000000.
1.985662,0.001000,0.001000,0.000000,0.000000,124.000000,0.000000.
2.007488,0.001000,0.001000,0.000000,0.000000,125.000000,0.000000.
2.033487,0.001000,0.001000,0.000000,0.000000,126.000000,0.000000.
2.059452,0.001000,0.001000,0.000000,0.000000,127.000000,0.000000.
2.082772,0.001000,0.001000,0.000000,0.000000,128.000000,0.000000.
2.105130,0.001000,0.001000,0.000000,0.000000,129.000000,0.000000.
2.127715,0.001000,0.001000,0.000000,0.000000,130.000000,0.000000.
2.152720,0.001000,0.001000,0.000000,0.000000,131.000000,0.000000.
2.176766,0.001000,0.001000,0.000000,0.000000,132.000000,0.000000.
2.200981,0.001000,0.001000,0.000000,0.000000,133.000000,0.000000.
2.223886,0.001000,0.001000,0.000000,0.000000,134.000000,0.000000.
2.248077,0.001000,0.001000,0.000000,0.000000,135.000000,0.000000.
2.271838,0.001000,0.001000,0.000000,0.000000,136.000000,0.000000.
2.296659,0.001000,0.001000,0.000000,0.000000,137.000000,0.000000.
2.322114,0.001000,0.001000,0.000000,0.000000,138.000000,0.000000.
2.345785,0.001000,0.001000,0.000000,0.000000,139.000000,0.000000.
2.369283,0.001000,0.001000,0.000000,0.000000,140.000000,0.000000.
2.392901,0.001000,0.001000,0.000000,0.000000,141.000000,0.000000.
2.417791,0.001000,0.001000,0.000000,0.000000,142.000000,0.000000.
2.442956,0.001000,0.001000,0.000000,0.000000,143.000000,0.000000.
2.465278,0.001000,0.001000,0.000000,0.000000,144.000000,0.000000.
2.488197,0.001000,0.001000,0.000000,0.000000,145.000000,0.000000.
2.512965,0.001000,0.001000,0.000000,0.000000,146.000000,0.000000.
2.538333,0.001000,0.001000,0.000000,0.000000,147.000000,0.000000.
2.561708,0.001000,0.001000,0.000000,0.000000,148.000000,0.000000.
2.587587,0.001000,0.001000,0.000000,0.000000,149.000000,0.000000.
2.609193,0.001000,0.001000,0.000000,0.000000,150.000000,0.000000.
2.633298,0.001000,0.001000,0.000000,0.000000,151.000000,0.000000.
2.657223,0.001000,0.001000,0.000000,0.000000,152.000000,0.000000.
2.683818,0.001000,0.001000,0.000000,0.000000,153.000000,0.000000.
2.709296,0.001000,0.001000,0.000000,0.000000,154.000000,0.000000.
2.751114,0.001000,0.001000,0.000000,0.000000,155.000000,0.000000.
2.761662,0.001000,0.001000,0.000000,0.000000,156.000000,0.000000.
2.775260,0.001000,0.001000,0.000000,0.000000,157.000000,0.000000.
2.802473,0.001000,0.001000,0.000000,0.000000,158.000000,0.000000.
2.823048,0.001000,0.001000,0.000000,0.000000,159.000000,0.000000.
2.849940,0.001000,0.001000,0.000000,0.000000,160.000000,0.000000.
2.879633,0.001000,0.001000,0.000000,0.000000,161.000000,0.000000.
2.903618,0.001000,0.001000,0.000000,0.000000,162.000000,0.000000.
2.925417,0.001000,0.001000,0.000000,0.000000,163.000000,0.000000.
2.945736,0.001000,0.001000,0.000000,0.000000,164.000000,0.000000.
2.969727,0.001000,0.001000,0.000000,0.000000,165.000000,0.000000.
3.030637,0.001000,0.001000,0.000000,0.000000,166.000000,0.000000.
3.041036,0.001000,0.001000,0.000000,0.000000,167.000000,0.000000.
3.054171,0.001000,0.001000,0.000000,0.000000,168.000000,0.000000.
3.064605,0.001000,0.001000,0.000000,0.000000,169.000000,0.000000.
3.094695,0.001000,0.001000,0.000000,0.000000,170.000000,0.000000.
3.110623,0.001000,0.001000,0.000000,0.000000,171.000000,0.000000.
3.132613,0.001000,0.001000,0.000000,0.000000,172.000000,0.000000.
3.160362,0.001000,0.001000,0.000000,0.000000,173.000000,0.000000.
3.184052,0.001000,0.001000,0.000000,0.000000,174.000000,0.000000.
3.208753,0.001000,0.001000,0.000000,0.000000,175.000000,0.000000.
3.233184,0.001000,0.001000,0.000000,0.000000,176.000000,0.000000.
3.257116,0.001000,0.001000,0.000000,0.000000,177.000000,0.000000.
3.282193,0.001000,0.001000,0.000000,0.000000,178.000000,0.000000.
3.301330,0.001000,0.001000,0.000000,0.000000,179.000000,0.000000.
3.327921,0.001000,0.001000,0.000000,0.000000,180.000000,0.000000.
3.353574,0.001000,0.001000,0.000000,0.000000,181.000000,0.000000.
3.375600,0.001000,0.001000,0.000000,0.000000,182.000000,0.000000.
3.399624,0.001000,0.001000,0.000000,0.000000,183.000000,0.000000.
3.425838,0.001000,0.001000,0.000000,0.000000,184.000000,0.000000.
3.451316,0.001000,0.001000,0.000000,0.000000,185.000000,0.000000.
3.474815,0.001000,0.001000,0.000000,0.000000,186.000000,0.000000.
3.500401,0.001000,0.001000,0.000000,0.000000,187.000000,0.000000.
3.528963,0.001000,0.001000,0.000000,0.000000,188.000000,0.000000.
3.555853,0.001000,0.001000,0.000000,0.000000,189.000000,0.000000.
3.566780,0.001000,0.001000,0.000000,0.000000,190.000000,0.000000.
3.591636,0.001000,0.001000,0.000000,0.000000,191.000000,0.000000.
3.615809,0.001000,0.001000,0.000000,0.000000,192.000000,0.000000.
3.643041,0.001000,0.001000,0.000000,0.000000,193.000000,0.000000.
3.666285,0.001000,0.001000,0.000000,0.000000,194.000000,0.000000.
3.691417,0.001000,0.001000,0.000000,0.000000,195.000000,0.000000.
3.714786,0.001000,0.001000,0.000000,0.000000,196.000000,0.000000.
3.761008,0.001000,0.001000,0.000000,0.000000,197.000000,0.000000.
3.771307,0.001000,0.001000,0.000000,0.000000,198.000000,0.000000.
3.791685,0.001000,0.001000,0.000000,0.000000,199.000000,0.000000.
3.814004,0.001000,0.001000,0.000000,0.000000,200.000000,0.000000.
3.838901,0.001000,0.001000,0.000000,0.000000,201.000000,0.000000.
3.862140,0.001000,0.001000,0.000000,0.000000,202.000000,0.000000.
3.886477,0.001000,0.001000,0.000000,0.000000,203.000000,0.000000.
3.909997,0.001000,0.001000,0.000000,0.000000,204.000000,0.000000.
3.933427,0.001000,0.001000,0.000000,0.000000,205.000000,0.000000.
3.956602,0.001000,0.001000,0.000000,0.000000,206.000000,0.000000.
3.984140,0.001000,0.001000,0.000000,0.000000,207.000000,0.000000.
4.004360,0.001000,0.001000,0.000000,0.000000,208.000000,0.000000.
4.027515,0.001000,0.001000,0.000000,0.000000,209.000000,0.000000.
4.051194,0.001000,0.001000,0.000000,0.000000,210.000000,0.000000.
4.074986,0.001000,0.001000,0.000000,0.000000,211.000000,0.000000.
4.103096,0.001000,0.001000,0.000000,0.000000,212.000000,0.000000.
4.124287,0.001000,0.001000,0.000000,0.000000,213.000000,0.000000.
4.151761,0.001000,0.001000,0.000000,0.000000,214.000000,0.000000.
