Time(s),Torque1(A),Torque2(A),Steering_Angle(Degrees)
27.609023,0.00000000,0.00000000,2359.000000
27.695099,0.00000000,0.00000000,2359.000000
27.798142,0.00000000,0.00000000,2359.000000
27.901529,0.00000000,0.00000000,2359.000000
28.003399,0.00000000,0.00000000,2359.000000
28.106060,0.00000000,0.00000000,2359.000000
28.208975,0.00000000,0.00000000,2359.000000
28.295507,0.00000000,0.00000000,2359.000000
28.397792,0.00000000,0.00000000,2359.000000
28.507508,0.00000000,0.00000000,2359.000000
28.609800,0.00000000,0.00000000,2359.000000
28.697688,0.00000000,0.00000000,2359.000000
28.801172,0.00000000,0.00000000,2359.000000
28.902602,0.00000000,0.00000000,2359.000000
29.004780,0.00000000,0.00000000,2359.000000
29.108766,0.00000000,0.00000000,2359.000000
29.193730,0.50000000,0.21613550,2359.000000
29.296470,1.00000000,0.43227100,2359.000000
29.401378,1.50000000,0.64840651,2359.000000
29.503168,2.00000000,0.86454201,2359.000000
29.606528,2.50000000,1.08177185,2360.000000
29.710041,3.00000000,1.29812622,2360.000000
29.799912,3.50000000,1.51448059,2360.000000
29.902755,4.00000000,1.73083496,2360.000000
30.004000,4.50000000,1.86371469,2318.000000
30.107379,5.00000000,2.06633568,2316.000000
30.194351,5.50000000,2.27296925,2316.000000
30.296512,6.00000000,2.47960281,2316.000000
30.400692,6.50000000,2.68623638,2316.000000
30.504390,7.00000000,2.89286995,2316.000000
30.606183,7.50000000,3.09950352,2316.000000
30.704425,8.00000000,3.30613708,2316.000000
30.808487,8.50000000,3.51277065,2316.000000
30.895019,9.00000000,3.71940422,2316.000000
30.997199,9.50000000,3.99781036,2333.000000
31.099444,10.00000000,4.21707153,2335.000000
31.201726,10.50000000,4.43720770,2337.000000
31.304361,11.00000000,4.64850330,2337.000000
31.404279,11.50000000,4.86488771,2338.000000
31.500927,12.00000000,5.40084457,2400.000000
31.605366,12.50000000,5.41979074,2362.000000
31.707120,13.00000000,3.73411417,2050.000000
31.792823,5.51123953,13.50000000,1908.000000
31.897983,5.87593985,14.00000000,1871.000000
32.000181,6.29256439,14.50000000,1825.000000
32.104749,6.60255003,15.00000000,1805.000000
32.209973,6.82743979,15.50000000,1804.000000
32.292633,7.06255913,16.00000000,1801.000000
32.396337,7.29349422,16.50000000,1799.000000
32.500780,7.46707964,17.00000000,1808.000000
32.599477,7.56192398,17.50000000,1831.000000
32.704749,7.65522003,18.00000000,1853.000000
32.807456,7.86212969,18.50000000,1854.000000
32.908165,7.96270943,19.00000000,1873.000000
32.995043,7.75514889,19.50000000,1942.000000
33.097941,20.00000000,6.86287880,2164.000000
33.200244,20.50000000,8.01913261,2267.000000
33.303403,21.00000000,8.49991798,2297.000000
33.406875,21.50000000,9.37838554,2368.000000
33.508732,22.00000000,10.47193336,2461.000000
33.608307,22.50000000,10.72883606,2463.000000
33.708698,23.00000000,10.90930367,2457.000000
33.808037,23.50000000,11.16620636,2459.000000
33.907958,24.00000000,12.19752502,2539.000000
34.008079,24.50000000,13.01352215,2596.000000
34.109853,25.00000000,13.43777180,2612.000000
34.196339,25.00000000,14.18807507,2689.000000
34.299084,25.00000000,14.15925026,2686.000000
34.402407,25.00000000,14.11113739,2681.000000
34.504547,25.00000000,14.12076950,2682.000000
34.606875,25.00000000,14.12076950,2682.000000
34.709312,25.00000000,14.88916874,2763.000000
34.795749,25.00000000,17.15178490,3016.000000
34.897308,25.00000000,18.43791008,3170.000000
34.999443,25.00000000,19.76375580,3337.000000
35.101509,25.00000000,19.91808319,3357.000000
35.205419,25.00000000,19.94116211,3360.000000
35.307800,25.00000000,19.94116211,3360.000000
35.394654,25.00000000,19.90268326,3355.000000
35.497207,25.00000000,19.86417770,3350.000000
35.598873,25.00000000,20.13258934,3385.000000
35.701023,25.00000000,20.43597794,3425.000000
35.806240,25.00000000,20.90668678,3488.000000
35.894939,25.00000000,22.14271927,3659.000000
35.998452,25.00000000,23.80986214,3903.000000
36.100218,25.00000000,24.94890594,4079.000000
36.201407,22.94700050,25.00000000,264.000000
36.304551,21.31175041,25.00000000,475.000000
36.405874,20.59874916,25.00000000,567.000000
36.505629,19.88574791,25.00000000,659.000000
36.592507,19.25024986,25.00000000,741.000000
36.695504,18.49849892,25.00000000,838.000000
36.799111,18.26599884,25.00000000,868.000000
36.901340,18.23499870,25.00000000,872.000000
37.002653,18.22724915,25.00000000,873.000000
37.103903,18.44424820,25.00000000,845.000000
37.205682,18.67674828,25.00000000,815.000000
37.291625,18.91699982,25.00000000,784.000000
37.391669,19.61450005,25.00000000,694.000000
37.495589,20.52124977,25.00000000,577.000000
37.598471,20.66074944,25.00000000,559.000000
37.700332,20.79249954,25.00000000,542.000000
37.804622,20.81575012,25.00000000,539.000000
37.907818,20.80799866,25.00000000,540.000000
37.994283,20.80024910,25.00000000,541.000000
38.097561,19.11849976,25.00000000,758.000000
38.199506,18.27375031,25.00000000,867.000000
38.301454,18.13424873,25.00000000,885.000000
38.402629,18.23499870,25.00000000,872.000000
38.504660,18.22724915,25.00000000,873.000000
38.606942,17.18099976,25.00000000,1008.000000
38.705636,16.45249939,25.00000000,1102.000000
38.804433,16.37500000,25.00000000,1112.000000
38.907140,16.32849884,25.00000000,1118.000000
39.007242,16.31299782,25.00000000,1120.000000
39.107513,16.37500000,25.00000000,1112.000000
39.193644,16.40600014,25.00000000,1108.000000
39.296506,15.96424866,25.00000000,1165.000000
39.401525,13.25174904,25.00000000,1515.000000
39.504681,12.61625004,25.00000000,1597.000000
39.608217,12.60849857,25.00000000,1598.000000
39.694784,12.61625004,25.00000000,1597.000000
39.796238,12.66274929,25.00000000,1591.000000
39.901159,14.00349998,25.00000000,1418.000000
40.003439,15.40624905,25.00000000,1237.000000
40.107092,15.63099957,25.00000000,1208.000000
40.192404,16.47574997,25.00000000,1099.000000
40.295095,17.54524994,25.00000000,961.000000
40.397280,17.75449944,25.00000000,934.000000
40.499796,17.75449944,25.00000000,934.000000
40.602028,17.75449944,25.00000000,934.000000
40.704441,17.76224899,25.00000000,933.000000
40.807115,17.86299896,25.00000000,920.000000
40.893249,17.79325104,25.00000000,929.000000
40.995811,15.95650005,25.00000000,1166.000000
41.099180,14.84825039,25.00000000,1309.000000
41.201642,14.42974949,25.00000000,1363.000000
41.304099,14.31349945,25.00000000,1378.000000
41.405607,14.29799938,25.00000000,1380.000000
41.492051,15.36749935,25.00000000,1242.000000
41.596827,16.15024948,25.00000000,1141.000000
41.700713,16.26649857,25.00000000,1126.000000
41.802531,16.33625031,25.00000000,1117.000000
41.903769,16.62299919,25.00000000,1080.000000
42.006496,16.66174889,25.00000000,1075.000000
42.093746,16.67724800,25.00000000,1073.000000
42.199824,16.79349899,25.00000000,1058.000000
42.301566,16.70824814,25.00000000,1069.000000
42.402268,16.73149872,25.00000000,1066.000000
42.503785,16.56099892,25.00000000,1088.000000
42.608404,16.49899864,25.00000000,1096.000000
42.695752,16.48349953,25.00000000,1098.000000
42.797771,16.61524963,25.00000000,1081.000000
42.899577,16.70050049,25.00000000,1070.000000
42.999993,16.55324936,25.00000000,1089.000000
43.102770,16.32849884,25.00000000,1118.000000
43.205665,15.71624851,25.00000000,1197.000000
43.294875,15.38299942,25.00000000,1240.000000
43.394418,15.22800064,25.00000000,1260.000000
43.495910,14.94124794,25.00000000,1297.000000
43.599010,14.92574978,25.00000000,1299.000000
43.701621,14.94124794,25.00000000,1297.000000
43.802634,14.94899940,25.00000000,1296.000000
62.495666,0.00000000,0.00000000,1060.000000
63.151295,0.00000000,0.00000000,1060.000000
63.163819,0.00000000,0.00000000,1060.000000
63.176643,0.00000000,0.00000000,1060.000000
63.190043,0.00000000,0.00000000,1060.000000
63.203077,0.00000000,0.00000000,1060.000000
63.224284,0.00000000,0.00000000,1060.000000
63.239560,0.00000000,0.00000000,1060.000000
63.298739,0.00000000,0.00000000,1060.000000
63.392166,0.00000000,0.00000000,1060.000000
63.492732,0.00000000,0.00000000,1060.000000
63.595320,0.00000000,0.00000000,1060.000000
63.698731,0.00000000,0.00000000,1060.000000
63.801893,0.00000000,0.00000000,1060.000000
63.907263,0.00000000,0.00000000,1059.000000
63.994038,0.00000000,0.00000000,1059.000000
64.097662,0.00000000,0.00000000,1059.000000
64.202296,0.00000000,0.00000000,1065.000000
64.306322,0.00000000,0.00000000,1077.000000
64.388901,0.00000000,0.00000000,1092.000000
64.490487,0.00000000,0.00000000,1103.000000
64.593420,0.00000000,0.00000000,1114.000000
64.697695,0.00000000,0.00000000,1115.000000
64.800149,0.00000000,0.00000000,1116.000000
64.901605,0.00000000,0.00000000,1179.000000
65.006357,0.00000000,0.00000000,1271.000000
65.110025,0.00000000,0.00000000,1333.000000
65.196500,0.00000000,0.00000000,1365.000000
65.299568,0.00000000,0.00000000,1426.000000
65.402078,0.00000000,0.00000000,1492.000000
65.503116,0.00000000,0.00000000,1555.000000
65.604447,0.00000000,0.00000000,1613.000000
65.707911,0.00000000,0.00000000,1615.000000
65.789868,0.00000000,0.00000000,1614.000000
65.891660,0.00000000,0.00000000,1614.000000
65.996386,0.00000000,0.00000000,1573.000000
66.100374,0.00000000,0.00000000,1462.000000
66.201995,0.00000000,0.00000000,1251.000000
66.305747,0.00000000,0.00000000,1114.000000
66.407646,0.00000000,0.00000000,1036.000000
66.509067,0.00000000,0.00000000,974.000000
66.592646,0.00000000,0.00000000,879.000000
66.694331,0.00000000,0.00000000,748.000000
66.795970,0.00000000,0.00000000,653.000000
66.898353,0.00000000,0.00000000,643.000000
67.001618,0.00000000,0.00000000,648.000000
67.103939,0.00000000,0.00000000,838.000000
67.205002,0.00000000,0.00000000,1039.000000
67.292678,0.00000000,0.00000000,1203.000000
67.394897,0.00000000,0.00000000,1341.000000
67.497053,0.00000000,0.00000000,1440.000000
67.602297,0.00000000,0.00000000,1509.000000
67.705368,0.00000000,0.00000000,1532.000000
67.806452,0.00000000,0.00000000,1532.000000
67.890009,0.00000000,0.00000000,1480.000000
67.994380,0.00000000,0.00000000,1374.000000
68.100516,0.00000000,0.00000000,1366.000000
68.202990,0.00000000,0.00000000,1364.000000
68.307125,0.00000000,0.00000000,1336.000000
68.396020,0.00000000,0.00000000,1302.000000
68.498774,0.00000000,0.00000000,1282.000000
68.601186,0.00000000,0.00000000,1282.000000
68.707847,0.00000000,0.00000000,1282.000000
68.808626,0.00000000,0.00000000,1282.000000
68.895627,0.00000000,0.00000000,1282.000000
68.998514,0.00000000,0.00000000,1282.000000
69.103785,0.00000000,0.00000000,1276.000000
69.207006,0.00000000,0.00000000,1286.000000
69.293235,0.00000000,0.00000000,1256.000000
69.405442,0.00000000,0.00000000,1081.000000
69.506969,0.00000000,0.00000000,1031.000000
69.607750,0.00000000,0.00000000,1012.000000
69.691618,0.00000000,0.00000000,1011.000000
69.794001,0.00000000,0.00000000,1013.000000
69.895655,0.00000000,0.00000000,1040.000000
69.999677,0.00000000,0.00000000,1251.000000
70.102636,0.00000000,0.00000000,1452.000000
70.209126,0.00000000,0.00000000,1582.000000
70.295328,0.00000000,0.00000000,1683.000000
70.400317,0.00000000,0.00000000,1714.000000
70.504998,0.00000000,0.00000000,1715.000000
