t,Torque1(t),Torque2(t)
15.470690,16.70824814,25.00000000
15.563316,16.70824814,25.00000000
15.678009,15.20474815,25.00000000
15.770897,14.35999870,25.00000000
15.863493,13.68574905,25.00000000
15.980712,13.16649914,25.00000000
16.072386,12.98824883,25.00000000
16.168034,12.98824883,25.00000000
16.280381,12.88749886,25.00000000
16.372349,12.85649872,25.00000000
16.463258,12.92624950,25.00000000
16.577286,14.16624928,25.00000000
16.668906,14.78624916,25.00000000
16.780211,15.48374939,25.00000000
16.872189,15.69299984,25.00000000
16.964817,15.55349827,25.00000000
17.078370,14.35999870,25.00000000
17.169675,13.82524967,25.00000000
17.267385,12.32174969,25.00000000
17.377274,11.25224972,25.00000000
17.469229,10.88024998,25.00000000
17.581350,10.19824886,25.00000000
17.674488,9.65575027,25.00000000
17.766898,9.58599854,25.00000000
17.878798,10.55474854,25.00000000
17.971708,11.51574993,25.00000000
18.062386,12.11250019,25.00000000
18.177256,12.78674889,25.00000000
18.271112,13.08899975,25.00000000
18.366046,13.31374931,25.00000000
18.479104,13.22850037,25.00000000
18.573075,12.92624950,25.00000000
18.670284,12.75574875,25.00000000
18.763698,11.19024944,25.00000000
18.878156,9.95024872,25.00000000
18.970052,9.81074905,25.00000000
19.062936,9.81074905,25.00000000
19.174618,10.25249958,25.00000000
19.267513,11.78699875,25.00000000
19.378562,12.33724976,25.00000000
19.470264,15.11175060,25.00000000
19.582369,18.07224846,25.00000000
19.674218,18.07224846,25.00000000
19.781508,18.07224846,25.00000000
19.874456,16.77799988,25.00000000
19.969071,12.80999947,25.00000000
20.081279,11.62424946,25.00000000
20.173706,11.09724903,25.00000000
20.263999,11.08174896,25.00000000
20.375140,11.56224918,25.00000000
20.466619,13.02700043,25.00000000
20.561659,14.81724930,25.00000000
20.673963,16.37500000,25.00000000
20.765870,17.68474960,25.00000000
20.881050,18.28924942,25.00000000
20.971145,17.11124992,25.00000000
21.065129,14.33675003,25.00000000
21.179331,12.25199986,25.00000000
21.273386,10.77950001,25.00000000
21.372997,10.19824886,25.00000000
21.463989,9.92699814,25.00000000
21.578383,9.66349983,25.00000000
21.669986,9.64024925,25.00000000
21.763858,10.01999950,25.00000000
21.875961,12.66274929,25.00000000
21.969381,13.56174946,25.00000000
22.082196,14.05774975,25.00000000
22.173978,14.62349892,25.00000000
22.265358,16.00299835,25.00000000
22.379351,16.56875038,25.00000000
22.473003,16.57649803,25.00000000
22.565921,14.91024971,25.00000000
22.678025,13.29824924,25.00000000
22.770434,12.03499889,25.00000000
22.864015,11.63974953,25.00000000
22.982859,13.24400043,25.00000000
23.075523,14.61575031,25.00000000
23.168423,15.22800064,25.00000000
23.283083,15.54574966,25.00000000
23.374110,14.77074909,25.00000000
23.469140,13.84849834,25.00000000
23.581472,12.61625004,25.00000000
23.673651,11.74825001,25.00000000
23.767451,10.93449879,25.00000000
23.881225,10.58574867,25.00000000
23.974993,10.43849850,25.00000000
24.067936,10.66324902,25.00000000
24.182011,10.60899925,25.00000000
24.274429,10.60899925,25.00000000
24.368924,10.60899925,25.00000000
24.462655,10.60899925,25.00000000
24.575460,10.60124969,25.00000000
24.669152,10.05099869,25.00000000
24.781458,9.31474876,25.00000000
24.874963,25.00000000,7.46911764
24.966515,25.00000000,9.11012840
25.078348,25.00000000,9.12181091
25.172622,25.00000000,9.00468826
25.265887,25.00000000,8.99294662
25.379320,25.00000000,8.99294662
25.472959,25.00000000,8.99294662
25.568631,25.00000000,8.99294662
25.679261,0.00000000,0.00000000
25.771104,0.00000000,0.00000000
