INFO:root:2016-12-22 11:50:12.234076: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.234715: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.235014: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.235274: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.235894: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.236131: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.236354: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.236927: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.237137: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.237351: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.238000: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.238266: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.238508: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.239089: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.239306: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.239521: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.240085: Integer Speed =14.
INFO:root:2016-12-22 11:50:12.240294: Decimal Speed =983.
INFO:root:2016-12-22 11:50:12.240515: Actual Speed =14.983.
INFO:root:2016-12-22 11:50:12.241125: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.241464: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.241731: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.242346: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.242600: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.242844: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.243480: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.243742: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.243982: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.244568: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.244788: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.245009: Actual Speed =0.0.
INFO:root:2016-12-22 11:50:12.245580: Integer Speed =0.
INFO:root:2016-12-22 11:50:12.245798: Decimal Speed =3840.
INFO:root:2016-12-22 11:50:12.246021: Actual Speed =3.84.
INFO:root:2016-12-22 11:50:12.246592: Integer Speed =5632.
INFO:root:2016-12-22 11:50:12.246812: Decimal Speed =0.
INFO:root:2016-12-22 11:50:12.247033: Actual Speed =5632.0.
INFO:root:2016-12-22 11:50:12.247607: Integer Speed =0.
