Time(s),StartByte(2),PayloadSize(#ofBytes),Command,Payload2,Payload3,Payload4,Payload5,CRCByte1,CRCByte2,EndByte(3)
11.066673,2,5,6,0,0,0,0,205,133,3,
11.164284,2,5,6,0,0,0,0,205,133,3,
11.258577,2,5,6,0,0,0,0,205,133,3,
11.371844,2,5,6,0,0,0,0,205,133,3,
11.466528,2,5,6,0,0,0,0,205,133,3,
11.560592,2,5,6,0,0,0,0,205,133,3,
11.673511,2,5,6,0,0,0,0,205,133,3,
11.767157,2,5,6,0,0,0,0,205,133,3,
11.857153,2,5,6,0,0,0,0,205,133,3,
11.972531,2,5,6,0,0,0,0,205,133,3,
12.065943,2,5,6,0,0,0,0,205,133,3,
12.158825,2,5,6,0,0,0,0,205,133,3,
12.271905,2,5,6,0,0,0,0,205,133,3,
12.366236,2,5,6,0,0,0,0,205,133,3,
12.462667,2,5,6,0,0,0,0,205,133,3,
12.555123,2,5,6,0,0,0,0,205,133,3,
12.670207,2,5,6,0,0,0,0,205,133,3,
12.762811,2,5,6,0,0,0,0,205,133,3,
12.857961,2,5,6,0,0,0,0,205,133,3,
12.970848,2,5,6,0,0,0,0,205,133,3,
13.066218,2,5,6,0,0,0,0,205,133,3,
13.159072,2,5,6,0,0,0,0,205,133,3,
13.272239,2,5,6,0,0,0,0,205,133,3,
13.366723,2,5,6,0,0,0,0,205,133,3,
13.459251,2,5,6,0,0,0,0,205,133,3,
13.573547,2,5,6,0,0,0,0,205,133,3,
13.666724,2,5,6,0,0,0,0,205,133,3,
13.760574,2,5,6,0,0,0,0,205,133,3,
13.855420,2,5,6,0,0,0,0,205,133,3,
13.972702,2,5,6,0,0,0,0,205,133,3,
14.067355,2,5,6,0,0,0,0,205,133,3,
14.164086,2,5,6,0,0,0,0,205,133,3,
14.259308,2,5,6,0,0,0,0,205,133,3,
14.373449,2,5,6,0,0,0,0,205,133,3,
14.467561,2,5,6,0,0,0,0,205,133,3,
14.562271,2,5,6,0,0,0,0,205,133,3,
14.657190,2,5,6,0,0,0,0,205,133,3,
14.773051,2,5,6,0,0,0,0,205,133,3,
14.866319,2,5,6,0,0,0,0,205,133,3,
14.960586,2,5,6,0,0,0,0,205,133,3,
15.073179,2,5,6,0,0,0,0,205,133,3,
15.166352,2,5,6,0,0,0,0,205,133,3,
15.263472,2,5,6,0,0,0,0,205,133,3,
15.357388,2,5,6,0,0,0,0,205,133,3,
15.473071,2,5,6,0,0,0,0,205,133,3,
15.567054,2,5,6,0,0,0,0,205,133,3,
15.664084,2,5,6,0,0,0,0,205,133,3,
15.757855,2,5,6,0,0,0,0,205,133,3,
15.874676,2,5,6,0,0,0,0,205,133,3,
15.969193,2,5,6,0,0,0,0,205,133,3,
16.061977,2,5,6,0,0,0,0,205,133,3,
16.173903,2,5,6,0,0,0,0,205,133,3,
16.266957,2,5,6,0,0,0,0,205,133,3,
16.370374,2,5,6,0,0,0,0,205,133,3,
16.467359,2,5,6,0,0,0,0,205,133,3,
16.560741,2,5,6,0,0,0,0,205,133,3,
16.676828,2,5,6,0,0,2,89,96,59,3,
16.770567,2,5,6,0,0,4,177,182,187,3,
16.863699,2,5,6,0,0,7,9,197,59,3,
16.959403,2,5,6,0,0,9,97,11,154,3,
17.073400,2,5,6,0,0,11,185,39,141,3,
17.168585,2,5,6,0,0,14,16,252,187,3,
17.264933,2,5,6,0,0,16,104,35,88,3,
17.363358,2,5,6,0,0,18,192,113,216,3,
17.458137,2,5,6,0,0,21,24,162,58,3,
17.570128,2,5,6,0,0,23,112,41,246,3,
17.666162,2,5,6,0,0,25,200,44,42,3,
17.761690,2,5,6,0,0,28,32,175,249,3,
17.874067,2,5,6,0,0,30,120,18,102,3,
17.968218,2,5,6,0,0,32,208,0,30,3,
18.062479,2,5,6,0,0,35,40,59,90,3,
18.175171,2,5,6,0,0,37,129,181,63,3,
18.270109,2,5,6,0,0,39,217,8,160,3,
18.365106,2,5,6,0,0,42,49,2,218,3,
18.466146,2,5,6,0,0,44,137,142,175,3,
18.569102,2,5,6,0,0,46,225,5,99,3,
18.671361,2,5,6,0,0,49,57,92,91,3,
18.770291,2,5,6,0,0,51,145,14,219,3,
18.864712,2,5,6,0,0,53,233,91,226,3,
18.959773,2,5,6,0,0,56,65,25,92,3,
19.058872,2,5,6,0,0,58,153,53,75,3,
19.176305,2,5,6,0,0,60,241,114,67,3,
19.273963,2,5,6,0,0,63,73,1,195,3,
19.377030,2,5,6,0,0,65,161,86,179,3,
19.459292,2,5,6,0,0,67,249,235,44,3,
19.559082,2,5,6,0,0,70,81,32,59,3,
19.658745,2,5,6,0,0,72,169,109,35,3,
19.778563,2,5,6,0,0,75,1,12,146,3,
19.875165,2,5,6,0,0,77,89,125,201,3,
19.966161,2,5,6,0,0,78,32,199,36,3,
20.063445,2,5,6,0,0,78,32,199,36,3,
20.165419,2,5,6,0,0,78,32,199,36,3,
20.266486,2,5,6,0,0,78,32,199,36,3,
20.366344,2,5,6,0,0,78,32,199,36,3,
20.467643,2,5,6,0,0,78,32,199,36,3,
20.571385,2,5,6,0,0,78,32,199,36,3,
20.669441,2,5,6,0,0,78,32,199,36,3,
20.767008,2,5,6,0,0,78,32,199,36,3,
20.867688,2,5,6,0,0,78,32,199,36,3,
20.962884,2,5,6,0,0,78,32,199,36,3,
21.057494,2,5,6,0,0,78,32,199,36,3,
21.171050,2,5,6,0,0,78,32,199,36,3,
21.264361,2,5,6,0,0,78,32,199,36,3,
